word: aalii	start: 1736656680.138134	end: 1736656680.583640
word: adage	start: 1736656704.676541	end: 1736656705.372588
word: acyls	start: 1736656704.189462	end: 1736656705.598233
word: adapt	start: 1736656704.900531	end: 1736656705.613988
word: addax	start: 1736656705.614715	end: 1736656706.004500
word: adaws	start: 1736656705.353503	end: 1736656706.055817
word: adays	start: 1736656705.373330	end: 1736656706.069130
word: added	start: 1736656706.005200	end: 1736656706.447813
word: adder	start: 1736656706.056496	end: 1736656706.808016
word: addio	start: 1736656706.069801	end: 1736656706.816693
word: adbot	start: 1736656705.598951	end: 1736656706.949629
word: addle	start: 1736656706.448562	end: 1736656707.201921
word: adeem	start: 1736656706.808728	end: 1736656707.562317
word: adhan	start: 1736656706.950336	end: 1736656707.651787
word: adept	start: 1736656706.817360	end: 1736656708.145272
word: adieu	start: 1736656707.202591	end: 1736656708.523043
word: adman	start: 1736656708.145960	end: 1736656708.855868
word: adios	start: 1736656707.562990	end: 1736656708.888930
word: adits	start: 1736656707.652467	end: 1736656709.000463
word: admen	start: 1736656708.523790	end: 1736656709.883765
word: admin	start: 1736656708.856552	end: 1736656710.237878
word: admit	start: 1736656708.889604	end: 1736656710.256104
word: admix	start: 1736656709.001210	end: 1736656710.388265
word: adobo	start: 1736656710.238669	end: 1736656710.999538
word: adobe	start: 1736656709.885163	end: 1736656711.256313
word: adopt	start: 1736656710.256777	end: 1736656711.614615
word: adore	start: 1736656710.388928	end: 1736656711.714462
word: adrad	start: 1736656711.715157	end: 1736656712.107604
word: adorn	start: 1736656711.000210	end: 1736656712.335342
word: adown	start: 1736656711.257028	end: 1736656712.593915
word: adred	start: 1736656712.108230	end: 1736656712.860687
word: adoze	start: 1736656711.615310	end: 1736656712.948518
word: adsum	start: 1736656712.336007	end: 1736656713.701549
word: aduki	start: 1736656712.594671	end: 1736656713.962677
word: adult	start: 1736656712.861397	end: 1736656714.203518
word: adunc	start: 1736656712.949279	end: 1736656714.295988
word: adyta	start: 1736656714.204197	end: 1736656714.898835
word: adzed	start: 1736656714.296727	end: 1736656715.034943
word: adust	start: 1736656713.702339	end: 1736656715.048871
word: advew	start: 1736656713.963368	end: 1736656715.305149
word: aecia	start: 1736656715.035680	end: 1736656715.731854
word: aedes	start: 1736656715.049531	end: 1736656715.802226
word: adzes	start: 1736656714.899591	end: 1736656716.248160
word: aerie	start: 1736656715.802937	end: 1736656716.543693
word: aegis	start: 1736656715.305858	end: 1736656716.629716
word: aeons	start: 1736656715.732471	end: 1736656717.045577
word: afald	start: 1736656716.630460	end: 1736656717.334421
word: afara	start: 1736656717.046231	end: 1736656717.459403
word: aeros	start: 1736656716.248919	end: 1736656717.565859
word: aesir	start: 1736656716.544404	end: 1736656717.884989
word: afars	start: 1736656717.335275	end: 1736656718.034418
word: afear	start: 1736656717.460087	end: 1736656718.149422
word: affix	start: 1736656717.566559	end: 1736656718.302239
word: aflaj	start: 1736656718.035080	end: 1736656718.733082
word: afoot	start: 1736656718.150051	end: 1736656718.899957
word: afire	start: 1736656717.885769	end: 1736656719.222644
word: afore	start: 1736656718.302950	end: 1736656719.608384
word: afoul	start: 1736656718.733716	end: 1736656720.051332
word: afrit	start: 1736656718.900617	end: 1736656720.230217
word: afros	start: 1736656719.223365	end: 1736656720.556629
word: agama	start: 1736656720.230869	end: 1736656720.624739
word: again	start: 1736656720.052043	end: 1736656720.752955
word: after	start: 1736656719.609057	end: 1736656720.948071
word: agami	start: 1736656720.557307	end: 1736656721.262852
word: agape	start: 1736656720.625403	end: 1736656721.319993
word: agars	start: 1736656720.753734	end: 1736656721.448765
word: agast	start: 1736656720.948709	end: 1736656721.651267
word: agate	start: 1736656721.263582	end: 1736656721.965762
word: agave	start: 1736656721.320650	end: 1736656722.017485
word: agaze	start: 1736656721.449432	end: 1736656722.158674
word: agene	start: 1736656721.652021	end: 1736656722.414715
word: agger	start: 1736656722.159419	end: 1736656722.893934
word: aggie	start: 1736656722.415509	end: 1736656723.147856
word: agent	start: 1736656721.966474	end: 1736656723.327874
word: agers	start: 1736656722.018195	end: 1736656723.348266
word: aggri	start: 1736656722.894632	end: 1736656723.635782
word: aggro	start: 1736656723.148569	end: 1736656723.902930
word: aghas	start: 1736656723.349829	end: 1736656724.053612
word: aggry	start: 1736656723.328607	end: 1736656724.067666
word: agila	start: 1736656723.636509	end: 1736656724.336708
word: aging	start: 1736656724.054268	end: 1736656724.798134
word: agile	start: 1736656723.903615	end: 1736656725.218763
word: agios	start: 1736656724.068381	end: 1736656725.375438
word: agism	start: 1736656724.337324	end: 1736656725.659725
word: agita	start: 1736656725.219435	end: 1736656725.920689
word: aglee	start: 1736656725.376092	end: 1736656726.125115
word: agist	start: 1736656724.798800	end: 1736656726.154404
word: agloo	start: 1736656726.125774	end: 1736656726.882901
word: aglet	start: 1736656725.660526	end: 1736656727.016239
word: agley	start: 1736656725.921361	end: 1736656727.274423
word: aglow	start: 1736656726.155102	end: 1736656727.510099
word: agmas	start: 1736656727.017064	end: 1736656727.719479
word: agoge	start: 1736656727.275118	end: 1736656727.999897
word: aglus	start: 1736656726.883647	end: 1736656728.204414
word: agone	start: 1736656727.510792	end: 1736656728.841613
word: agood	start: 1736656728.205103	end: 1736656728.944757
word: agons	start: 1736656727.720142	end: 1736656729.057534
word: agony	start: 1736656728.000536	end: 1736656729.335813
word: agora	start: 1736656728.842285	end: 1736656729.547474
word: agree	start: 1736656728.945422	end: 1736656729.697998
word: agria	start: 1736656729.058185	end: 1736656729.761950
word: agrin	start: 1736656729.336508	end: 1736656730.729738
word: agros	start: 1736656729.548129	end: 1736656730.920875
word: agued	start: 1736656729.698729	end: 1736656731.040260
word: agues	start: 1736656729.762646	end: 1736656731.137634
word: aguna	start: 1736656730.730447	end: 1736656731.441434
word: ahead	start: 1736656731.040974	end: 1736656731.742821
word: aheap	start: 1736656731.138363	end: 1736656731.859685
word: aguti	start: 1736656730.921557	end: 1736656732.294392
word: ahigh	start: 1736656731.743562	end: 1736656732.491373
word: ahent	start: 1736656731.442140	end: 1736656732.791183
word: ahind	start: 1736656731.860376	end: 1736656733.236019
word: ahing	start: 1736656732.295049	end: 1736656733.668432
word: ahint	start: 1736656732.492032	end: 1736656733.831337
word: ahull	start: 1736656733.236766	end: 1736656734.019724
word: ahold	start: 1736656732.791921	end: 1736656734.157902
word: ahuru	start: 1736656733.669087	end: 1736656734.420951
word: aidas	start: 1736656733.832016	end: 1736656734.524323
word: aided	start: 1736656734.020452	end: 1736656734.759287
word: aidoi	start: 1736656734.524987	end: 1736656735.253466
word: aider	start: 1736656734.158553	end: 1736656735.485991
word: aides	start: 1736656734.421658	end: 1736656735.769332
word: aidos	start: 1736656734.759974	end: 1736656736.092143
word: aigas	start: 1736656735.486742	end: 1736656736.180487
word: aiery	start: 1736656735.254161	end: 1736656736.578233
word: aight	start: 1736656735.770044	end: 1736656737.128734
word: ailed	start: 1736656736.092831	end: 1736656737.424614
word: aimed	start: 1736656736.181239	end: 1736656737.525673
word: ainee	start: 1736656737.129442	end: 1736656737.890812
word: aimer	start: 1736656736.578942	end: 1736656737.892167
word: ainga	start: 1736656737.425335	end: 1736656738.126428
word: aioli	start: 1736656737.526348	end: 1736656738.256934
word: airer	start: 1736656737.892802	end: 1736656738.625190
word: aired	start: 1736656737.891583	end: 1736656739.237656
word: airns	start: 1736656738.127112	end: 1736656739.466496
word: airth	start: 1736656738.257638	end: 1736656739.593509
word: airts	start: 1736656738.625912	end: 1736656739.949683
word: aisle	start: 1736656739.238390	end: 1736656740.573329
word: aitch	start: 1736656739.469654	end: 1736656740.803380
word: aitus	start: 1736656739.594238	end: 1736656740.933474
word: aiver	start: 1736656739.950397	end: 1736656741.274255
word: aiyee	start: 1736656740.574033	end: 1736656741.351773
word: ajiva	start: 1736656741.274900	end: 1736656741.980047
word: ajuga	start: 1736656741.352494	end: 1736656742.059492
word: aizle	start: 1736656740.804185	end: 1736656742.122218
word: ajies	start: 1736656740.934197	end: 1736656742.250210
word: ajwan	start: 1736656741.980759	end: 1736656742.685718
word: akela	start: 1736656742.122942	end: 1736656742.814845
word: akees	start: 1736656742.060169	end: 1736656742.816530
word: akene	start: 1736656742.250979	end: 1736656742.991887
word: akkas	start: 1736656742.817158	end: 1736656743.207345
word: alaap	start: 1736656742.992611	end: 1736656743.393878
word: akita	start: 1736656742.815585	end: 1736656743.517581
word: alack	start: 1736656743.207966	end: 1736656743.930439
word: aking	start: 1736656742.686456	end: 1736656744.015849
word: alamo	start: 1736656743.394690	end: 1736656744.088188
word: aland	start: 1736656743.518325	end: 1736656744.220933
word: alane	start: 1736656743.931161	end: 1736656744.637258
word: alang	start: 1736656744.016534	end: 1736656744.708260
word: alans	start: 1736656744.088928	end: 1736656744.783963
word: alant	start: 1736656744.221709	end: 1736656744.912533
word: alapa	start: 1736656744.637973	end: 1736656745.049117
word: alaps	start: 1736656744.708948	end: 1736656745.408336
word: alarm	start: 1736656744.784663	end: 1736656745.479663
word: alary	start: 1736656744.913163	end: 1736656745.609972
word: alate	start: 1736656745.049812	end: 1736656745.748610
word: alays	start: 1736656745.409041	end: 1736656746.101828
word: albas	start: 1736656745.480378	end: 1736656746.177071
word: albee	start: 1736656745.610670	end: 1736656746.370143
word: aldea	start: 1736656746.370908	end: 1736656747.069876
word: album	start: 1736656745.749315	end: 1736656747.104856
word: alcid	start: 1736656746.102534	end: 1736656747.447487
word: alcos	start: 1736656746.177783	end: 1736656747.531878
word: aldol	start: 1736656747.105578	end: 1736656747.875039
word: alder	start: 1736656747.070525	end: 1736656748.413000
word: aleck	start: 1736656747.448247	end: 1736656748.784156
word: alecs	start: 1736656747.532645	end: 1736656748.870280
word: alefs	start: 1736656747.875835	end: 1736656749.216963
word: aleft	start: 1736656748.413738	end: 1736656749.749702
word: aleph	start: 1736656748.784992	end: 1736656750.106016
word: alert	start: 1736656748.870995	end: 1736656750.202855
word: alews	start: 1736656749.217718	end: 1736656750.544616
word: aleye	start: 1736656749.750481	end: 1736656750.545355
word: alfas	start: 1736656750.106749	end: 1736656750.814108
word: algae	start: 1736656750.203580	end: 1736656750.925807
word: algal	start: 1736656750.545433	end: 1736656750.934532
word: algas	start: 1736656750.545969	end: 1736656751.245445
word: algid	start: 1736656750.814849	end: 1736656752.177771
word: algin	start: 1736656750.926622	end: 1736656752.285238
word: algor	start: 1736656750.935200	end: 1736656752.296569
word: algum	start: 1736656751.246216	end: 1736656752.582855
word: alias	start: 1736656752.178527	end: 1736656752.874065
word: alibi	start: 1736656752.286006	end: 1736656753.046470
word: alien	start: 1736656752.297285	end: 1736656753.625776
word: alifs	start: 1736656752.583550	end: 1736656753.912155
word: align	start: 1736656752.874711	end: 1736656754.210869
word: alike	start: 1736656753.047198	end: 1736656754.385836
word: aline	start: 1736656753.626478	end: 1736656754.974163
word: aliya	start: 1736656754.387934	end: 1736656755.105893
word: alist	start: 1736656753.912940	end: 1736656755.272256
word: alive	start: 1736656754.211611	end: 1736656755.548115
word: alkyl	start: 1736656755.548810	end: 1736656756.277798
word: alkie	start: 1736656754.974900	end: 1736656756.313458
word: alkos	start: 1736656755.106604	end: 1736656756.457346
word: alkyd	start: 1736656755.272930	end: 1736656756.614763
word: allay	start: 1736656756.278516	end: 1736656756.668301
word: allee	start: 1736656756.314195	end: 1736656756.729660
word: allel	start: 1736656756.458088	end: 1736656756.901471
word: alley	start: 1736656756.615400	end: 1736656757.347347
word: allis	start: 1736656756.669018	end: 1736656757.401910
word: allod	start: 1736656756.730353	end: 1736656757.464031
word: allot	start: 1736656756.902103	end: 1736656757.636916
word: allyl	start: 1736656757.464705	end: 1736656757.940242
word: allow	start: 1736656757.348033	end: 1736656758.113092
word: alloy	start: 1736656757.402604	end: 1736656758.162470
word: almah	start: 1736656757.637620	end: 1736656758.349210
word: almas	start: 1736656757.940986	end: 1736656758.642002
word: almeh	start: 1736656758.113833	end: 1736656759.435875
word: almes	start: 1736656758.163278	end: 1736656759.567699
word: almud	start: 1736656758.349913	end: 1736656759.702502
word: almug	start: 1736656758.642625	end: 1736656759.962346
word: alods	start: 1736656759.436586	end: 1736656760.751740
word: aloed	start: 1736656759.568444	end: 1736656760.874753
word: aloes	start: 1736656759.703196	end: 1736656761.018278
word: aloft	start: 1736656759.963012	end: 1736656761.282178
word: aloha	start: 1736656760.752514	end: 1736656761.443846
word: aloin	start: 1736656760.875460	end: 1736656762.183173
word: aloof	start: 1736656761.444608	end: 1736656762.184478
word: alone	start: 1736656761.018961	end: 1736656762.340641
word: along	start: 1736656761.282857	end: 1736656762.604150
word: aloos	start: 1736656762.183901	end: 1736656762.923721
word: alpha	start: 1736656762.604865	end: 1736656763.300049
word: aloud	start: 1736656762.185055	end: 1736656763.495582
word: altar	start: 1736656762.924403	end: 1736656763.616345
word: alowe	start: 1736656762.341345	end: 1736656763.654441
word: alula	start: 1736656763.655242	end: 1736656764.037688
word: alter	start: 1736656763.300778	end: 1736656764.630298
word: altho	start: 1736656763.496337	end: 1736656764.807056
word: altos	start: 1736656763.617048	end: 1736656764.928009
word: alums	start: 1736656764.038375	end: 1736656765.373747
word: alvar	start: 1736656764.807785	end: 1736656765.526713
word: alway	start: 1736656764.928768	end: 1736656765.631588
word: alure	start: 1736656764.630921	end: 1736656765.948085
word: amass	start: 1736656765.632319	end: 1736656766.023255
word: amahs	start: 1736656765.374461	end: 1736656766.076378
word: amain	start: 1736656765.527426	end: 1736656766.221511
word: amate	start: 1736656765.948780	end: 1736656766.659448
word: amaut	start: 1736656766.023951	end: 1736656766.719745
word: amaze	start: 1736656766.077106	end: 1736656766.788790
word: amban	start: 1736656766.222241	end: 1736656766.930867
word: amber	start: 1736656766.660146	end: 1736656767.991755
word: ambit	start: 1736656766.720602	end: 1736656768.041371
word: amble	start: 1736656766.789493	end: 1736656768.132585
word: ambos	start: 1736656766.931562	end: 1736656768.247113
word: ameba	start: 1736656768.042110	end: 1736656768.725286
word: ameer	start: 1736656768.133317	end: 1736656768.881406
word: ambry	start: 1736656767.992446	end: 1736656769.323328
word: amene	start: 1736656768.726008	end: 1736656769.473027
word: amend	start: 1736656768.247818	end: 1736656769.574922
word: amias	start: 1736656769.473703	end: 1736656770.168426
word: amens	start: 1736656768.882063	end: 1736656770.226235
word: ament	start: 1736656769.324008	end: 1736656770.665885
word: amice	start: 1736656769.575626	end: 1736656770.887319
word: amici	start: 1736656770.169135	end: 1736656770.910610
word: amide	start: 1736656770.226931	end: 1736656771.560292
word: amido	start: 1736656770.666571	end: 1736656771.988760
word: amids	start: 1736656770.888020	end: 1736656772.207163
word: amies	start: 1736656770.911309	end: 1736656772.229354
word: amiga	start: 1736656771.561024	end: 1736656772.259560
word: amigo	start: 1736656771.989396	end: 1736656773.306757
word: amine	start: 1736656772.207929	end: 1736656773.532163
word: amino	start: 1736656772.230068	end: 1736656773.545622
word: amins	start: 1736656772.260258	end: 1736656773.592546
word: amiss	start: 1736656773.532894	end: 1736656774.279607
word: amlas	start: 1736656773.593247	end: 1736656774.305497
word: amirs	start: 1736656773.307470	end: 1736656774.634363
word: amman	start: 1736656774.280333	end: 1736656774.664876
word: amity	start: 1736656773.546400	end: 1736656774.891944
word: ammon	start: 1736656774.306226	end: 1736656775.044192
word: amnia	start: 1736656774.665588	end: 1736656775.362047
word: ammos	start: 1736656774.635082	end: 1736656775.368929
word: amnic	start: 1736656774.892613	end: 1736656776.218239
word: amnio	start: 1736656775.044911	end: 1736656776.363407
word: amole	start: 1736656775.369628	end: 1736656776.681689
word: amoks	start: 1736656775.362807	end: 1736656776.686553
word: among	start: 1736656776.218957	end: 1736656777.542047
word: amort	start: 1736656776.364148	end: 1736656777.688623
word: amove	start: 1736656776.687262	end: 1736656777.996997
word: amour	start: 1736656776.682440	end: 1736656778.006240
word: amowt	start: 1736656777.542742	end: 1736656778.866982
word: amped	start: 1736656777.689347	end: 1736656779.031768
word: ample	start: 1736656777.997805	end: 1736656779.318976
word: amply	start: 1736656778.006963	end: 1736656779.344966
word: ampul	start: 1736656778.867681	end: 1736656780.207533
word: amrit	start: 1736656779.032469	end: 1736656780.368860
word: anana	start: 1736656780.369551	end: 1736656780.588026
word: amuck	start: 1736656779.319729	end: 1736656780.644992
word: amuse	start: 1736656779.345677	end: 1736656780.678784
word: anata	start: 1736656780.588737	end: 1736656780.987397
word: amyls	start: 1736656780.208223	end: 1736656781.545571
word: ancon	start: 1736656780.988032	end: 1736656781.720773
word: ancho	start: 1736656780.645693	end: 1736656781.973337
word: ancle	start: 1736656780.679513	end: 1736656782.003047
word: anear	start: 1736656781.721481	end: 1736656782.423276
word: anele	start: 1736656781.974212	end: 1736656782.712972
word: anent	start: 1736656782.003772	end: 1736656782.731126
word: andro	start: 1736656781.546257	end: 1736656782.865981
word: angas	start: 1736656782.424037	end: 1736656783.129387
word: angel	start: 1736656782.713747	end: 1736656784.037576
word: anger	start: 1736656782.731844	end: 1736656784.063506
word: angle	start: 1736656782.866680	end: 1736656784.184114
word: anglo	start: 1736656783.130057	end: 1736656784.457032
word: angry	start: 1736656784.038381	end: 1736656785.360261
word: angst	start: 1736656784.064248	end: 1736656785.395070
word: anigh	start: 1736656784.184801	end: 1736656785.503706
word: anile	start: 1736656784.457796	end: 1736656785.783929
word: anima	start: 1736656785.395774	end: 1736656786.097973
word: animi	start: 1736656785.784666	end: 1736656786.530528
word: anils	start: 1736656785.360989	end: 1736656786.684613
word: anion	start: 1736656786.098675	end: 1736656786.826487
word: anime	start: 1736656785.504387	end: 1736656786.828874
word: anise	start: 1736656786.531169	end: 1736656787.846238
word: anker	start: 1736656786.685359	end: 1736656787.992338
word: ankle	start: 1736656786.829575	end: 1736656788.144096
word: ankhs	start: 1736656786.827188	end: 1736656788.161967
word: annal	start: 1736656788.144855	end: 1736656788.526244
word: annas	start: 1736656788.162679	end: 1736656788.549031
word: anlas	start: 1736656787.993007	end: 1736656788.685431
word: annat	start: 1736656788.526930	end: 1736656788.911274
word: ankus	start: 1736656787.846969	end: 1736656789.185375
word: annex	start: 1736656788.549724	end: 1736656789.277074
word: annoy	start: 1736656788.686147	end: 1736656789.417922
word: annul	start: 1736656788.911998	end: 1736656789.641081
word: anoas	start: 1736656789.186085	end: 1736656789.886378
word: ansae	start: 1736656789.887075	end: 1736656790.581989
word: anode	start: 1736656789.277768	end: 1736656790.586498
word: anole	start: 1736656789.418688	end: 1736656790.723118
word: anomy	start: 1736656789.641774	end: 1736656790.960664
word: antae	start: 1736656790.582820	end: 1736656791.278635
word: antar	start: 1736656790.587222	end: 1736656791.283697
word: antas	start: 1736656790.723831	end: 1736656791.417051
word: anted	start: 1736656790.961291	end: 1736656792.276982
word: antes	start: 1736656791.279410	end: 1736656792.598703
word: antic	start: 1736656791.284386	end: 1736656792.608364
word: antis	start: 1736656791.417748	end: 1736656792.742059
word: antra	start: 1736656792.277685	end: 1736656792.970159
word: anura	start: 1736656792.742777	end: 1736656793.435039
word: antre	start: 1736656792.599468	end: 1736656793.929900
word: antsy	start: 1736656792.609061	end: 1736656793.944924
word: anyon	start: 1736656793.435794	end: 1736656794.169549
word: anvil	start: 1736656792.970841	end: 1736656794.286205
word: aorta	start: 1736656793.930662	end: 1736656794.619825
word: apace	start: 1736656793.945607	end: 1736656794.640055
word: apage	start: 1736656794.170187	end: 1736656794.853039
word: apaid	start: 1736656794.286970	end: 1736656794.980415
word: apart	start: 1736656794.620530	end: 1736656795.310466
word: apayd	start: 1736656794.640747	end: 1736656795.334213
word: apays	start: 1736656794.853742	end: 1736656795.544178
word: apeak	start: 1736656794.981125	end: 1736656795.670311
word: apeek	start: 1736656795.311145	end: 1736656796.059629
word: apers	start: 1736656795.334901	end: 1736656796.655630
word: apgar	start: 1736656796.060310	end: 1736656796.759287
word: apert	start: 1736656795.544873	end: 1736656796.871954
word: apery	start: 1736656795.671071	end: 1736656796.984085
word: apian	start: 1736656796.872629	end: 1736656797.555420
word: aphid	start: 1736656796.656370	end: 1736656797.998178
word: aphis	start: 1736656796.760021	end: 1736656798.092420
word: aping	start: 1736656796.984862	end: 1736656798.318501
word: apiol	start: 1736656797.556124	end: 1736656798.871770
word: apnea	start: 1736656798.319263	end: 1736656799.010430
word: apish	start: 1736656797.998923	end: 1736656799.324486
word: apism	start: 1736656798.093157	end: 1736656799.419497
word: apoop	start: 1736656799.325164	end: 1736656799.738717
word: appal	start: 1736656799.739478	end: 1736656800.123586
word: apode	start: 1736656798.872504	end: 1736656800.183072
word: apods	start: 1736656799.011156	end: 1736656800.329897
word: appay	start: 1736656800.124225	end: 1736656800.510860
word: aport	start: 1736656799.420229	end: 1736656800.749520
word: appel	start: 1736656800.183867	end: 1736656800.907719
word: apple	start: 1736656800.330615	end: 1736656801.062560
word: apply	start: 1736656800.511580	end: 1736656801.253057
word: appro	start: 1736656800.750282	end: 1736656801.507236
word: appui	start: 1736656800.908419	end: 1736656801.636350
word: appuy	start: 1736656801.063245	end: 1736656801.806283
word: apses	start: 1736656801.637025	end: 1736656802.384999
word: apsis	start: 1736656801.806965	end: 1736656802.548477
word: apres	start: 1736656801.253741	end: 1736656802.573470
word: apron	start: 1736656801.507955	end: 1736656802.835960
word: apsos	start: 1736656802.385748	end: 1736656803.124775
word: aquae	start: 1736656803.125457	end: 1736656803.820130
word: apted	start: 1736656802.549266	end: 1736656803.868593
word: apter	start: 1736656802.574087	end: 1736656803.906996
word: aptly	start: 1736656802.836692	end: 1736656804.175647
word: araba	start: 1736656803.869302	end: 1736656804.264370
word: aquas	start: 1736656803.820870	end: 1736656804.521358
word: araks	start: 1736656803.907727	end: 1736656804.614835
word: arars	start: 1736656804.265095	end: 1736656804.652982
word: arame	start: 1736656804.176424	end: 1736656804.883322
word: arbas	start: 1736656804.522145	end: 1736656805.219810
word: arbor	start: 1736656804.615525	end: 1736656805.351470
word: arced	start: 1736656804.653731	end: 1736656805.984193
word: archi	start: 1736656804.884078	end: 1736656806.204061
word: arcos	start: 1736656805.220500	end: 1736656806.551208
word: arcus	start: 1736656805.352178	end: 1736656806.692767
word: ardor	start: 1736656806.204853	end: 1736656806.943209
word: ardri	start: 1736656806.551924	end: 1736656807.287748
word: ardeb	start: 1736656805.984989	end: 1736656807.311624
word: areae	start: 1736656806.943912	end: 1736656807.335763
word: aread	start: 1736656806.693483	end: 1736656807.394816
word: arear	start: 1736656807.312360	end: 1736656807.692411
word: areal	start: 1736656807.288420	end: 1736656807.974275
word: areas	start: 1736656807.336407	end: 1736656808.028241
word: areca	start: 1736656807.395545	end: 1736656808.089298
word: aredd	start: 1736656807.693104	end: 1736656808.432882
