word: pared	start: 1736666369.940981	end: 1736666370.512906
word: quant	start: 1736666419.677989	end: 1736666420.217171
word: masse	start: 1736666420.217192	end: 1736666420.517942
word: styli	start: 1736666420.517967	end: 1736666421.066400
word: chasm	start: 1736666421.066425	end: 1736666421.602247
word: mumps	start: 1736666421.602272	end: 1736666421.888817
word: bundy	start: 1736666421.888838	end: 1736666422.444625
word: drags	start: 1736666422.444646	end: 1736666422.974223
word: tacky	start: 1736666422.974244	end: 1736666423.520932
word: stews	start: 1736666423.520954	end: 1736666423.819823
word: fates	start: 1736666423.819845	end: 1736666424.360889
word: sloth	start: 1736666424.360912	end: 1736666424.892112
word: grist	start: 1736666424.892133	end: 1736666425.430761
word: radix	start: 1736666425.430785	end: 1736666425.980859
word: bough	start: 1736666425.980880	end: 1736666426.523537
word: parti	start: 1736666426.523558	end: 1736666427.071861
word: lubes	start: 1736666427.071882	end: 1736666427.602670
word: tanto	start: 1736666427.602691	end: 1736666427.892427
word: pesto	start: 1736666427.892448	end: 1736666428.431930
word: clays	start: 1736666428.431955	end: 1736666428.967254
word: faves	start: 1736666428.967278	end: 1736666429.511215
word: swipe	start: 1736666429.511236	end: 1736666430.056961
word: booms	start: 1736666430.056984	end: 1736666430.354208
word: raine	start: 1736666430.354229	end: 1736666430.894584
word: cynic	start: 1736666430.894605	end: 1736666431.186772
word: dares	start: 1736666431.186836	end: 1736666431.732110
word: sysop	start: 1736666431.732133	end: 1736666432.021639
word: solon	start: 1736666432.021659	end: 1736666432.318938
word: gnats	start: 1736666432.318960	end: 1736666432.859033
word: passe	start: 1736666432.859057	end: 1736666433.163364
word: poked	start: 1736666433.163396	end: 1736666433.703145
word: cabal	start: 1736666433.703167	end: 1736666434.006716
word: yanks	start: 1736666434.006739	end: 1736666434.563086
word: tongs	start: 1736666434.563118	end: 1736666435.097950
word: murky	start: 1736666435.097973	end: 1736666435.649456
word: buoys	start: 1736666435.649482	end: 1736666436.186758
word: foils	start: 1736666436.186779	end: 1736666436.717307
word: leans	start: 1736666436.717329	end: 1736666437.260747
word: freer	start: 1736666437.260770	end: 1736666437.426753
word: muses	start: 1736666437.426781	end: 1736666437.726739
word: honky	start: 1736666437.726759	end: 1736666438.268994
word: chemo	start: 1736666438.269015	end: 1736666438.800932
word: zonal	start: 1736666438.800953	end: 1736666439.349950
word: hades	start: 1736666439.349972	end: 1736666439.891120
word: tolar	start: 1736666439.891141	end: 1736666440.435537
word: hallo	start: 1736666440.435559	end: 1736666440.739245
word: eidos	start: 1736666440.739265	end: 1736666441.269339
word: lupin	start: 1736666441.269362	end: 1736666441.820318
word: casas	start: 1736666441.820341	end: 1736666441.988460
word: drool	start: 1736666441.988481	end: 1736666442.285585
word: amity	start: 1736666442.285608	end: 1736666442.827009
word: pours	start: 1736666442.827030	end: 1736666443.364984
word: flier	start: 1736666443.365007	end: 1736666443.897944
word: elven	start: 1736666443.897966	end: 1736666444.189049
word: probs	start: 1736666444.189071	end: 1736666444.713103
word: scant	start: 1736666444.713138	end: 1736666445.252222
word: lowly	start: 1736666445.252244	end: 1736666445.547643
word: sider	start: 1736666445.547668	end: 1736666446.084508
word: forme	start: 1736666446.084529	end: 1736666446.626123
word: summa	start: 1736666446.626145	end: 1736666446.924468
word: gripe	start: 1736666446.924490	end: 1736666447.458510
word: madly	start: 1736666447.458531	end: 1736666448.017061
word: revel	start: 1736666448.017085	end: 1736666448.317819
word: saute	start: 1736666448.317843	end: 1736666448.857473
word: targa	start: 1736666448.857494	end: 1736666449.160041
word: beryl	start: 1736666449.160063	end: 1736666449.714771
word: lorry	start: 1736666449.714792	end: 1736666450.015893
word: filet	start: 1736666450.015916	end: 1736666450.555823
word: compo	start: 1736666450.555844	end: 1736666450.865560
word: manta	start: 1736666450.865585	end: 1736666451.164528
word: paras	start: 1736666451.164550	end: 1736666451.460170
word: pease	start: 1736666451.460185	end: 1736666451.760845
word: gamut	start: 1736666451.760870	end: 1736666452.304208
word: trawl	start: 1736666452.304229	end: 1736666452.837242
word: merch	start: 1736666452.837265	end: 1736666453.385068
word: saggy	start: 1736666453.385091	end: 1736666453.691411
word: idiom	start: 1736666453.691430	end: 1736666453.975010
word: haves	start: 1736666453.975031	end: 1736666454.516664
word: fixer	start: 1736666454.516687	end: 1736666455.074771
word: amuse	start: 1736666455.074792	end: 1736666455.603498
word: moira	start: 1736666455.603520	end: 1736666456.136062
word: skips	start: 1736666456.136086	end: 1736666456.435835
word: gazed	start: 1736666456.435859	end: 1736666456.992599
word: gauze	start: 1736666456.992622	end: 1736666457.540515
word: octal	start: 1736666457.540536	end: 1736666458.076003
word: trams	start: 1736666458.076025	end: 1736666458.601209
word: jeune	start: 1736666458.601231	end: 1736666458.899046
word: anima	start: 1736666458.899068	end: 1736666459.195522
word: boson	start: 1736666459.195551	end: 1736666459.492777
word: dells	start: 1736666459.492798	end: 1736666459.791272
word: piped	start: 1736666459.791299	end: 1736666460.084122
word: hasta	start: 1736666460.084144	end: 1736666460.380615
word: karts	start: 1736666460.380638	end: 1736666460.925358
word: mises	start: 1736666460.925379	end: 1736666461.227697
word: wifes	start: 1736666461.227720	end: 1736666461.765161
word: sighs	start: 1736666461.765188	end: 1736666462.065720
word: chore	start: 1736666462.065743	end: 1736666462.602380
word: holla	start: 1736666462.602401	end: 1736666462.908370
word: tubal	start: 1736666462.908391	end: 1736666463.457866
word: datos	start: 1736666463.457891	end: 1736666464.000513
word: brawl	start: 1736666464.000535	end: 1736666464.541436
word: coney	start: 1736666464.541458	end: 1736666465.101348
word: ender	start: 1736666465.101371	end: 1736666465.394335
word: sucre	start: 1736666465.394358	end: 1736666465.937771
word: bayes	start: 1736666465.937793	end: 1736666466.499509
word: neath	start: 1736666466.499533	end: 1736666467.039945
word: dodgy	start: 1736666467.039966	end: 1736666467.334291
word: coden	start: 1736666467.334316	end: 1736666467.880724
word: bevel	start: 1736666467.880747	end: 1736666468.183418
word: waxes	start: 1736666468.183443	end: 1736666468.731196
word: lasso	start: 1736666468.731217	end: 1736666469.029210
word: nears	start: 1736666469.029231	end: 1736666469.568142
word: heros	start: 1736666469.568165	end: 1736666470.098307
word: roomy	start: 1736666470.098333	end: 1736666470.397403
word: radii	start: 1736666470.397427	end: 1736666470.700722
word: jaded	start: 1736666470.700745	end: 1736666471.015692
word: waxed	start: 1736666471.015723	end: 1736666471.570138
word: waged	start: 1736666471.570156	end: 1736666472.130433
word: moors	start: 1736666472.130456	end: 1736666472.426552
word: bimbo	start: 1736666472.426573	end: 1736666472.716731
word: sitka	start: 1736666472.716748	end: 1736666473.252972
word: redox	start: 1736666473.252993	end: 1736666473.803451
word: festa	start: 1736666473.803472	end: 1736666474.333890
word: calla	start: 1736666474.333913	end: 1736666474.503670
word: tapas	start: 1736666474.503691	end: 1736666474.809334
word: comer	start: 1736666474.809357	end: 1736666475.348587
word: avion	start: 1736666475.348612	end: 1736666475.887613
word: steen	start: 1736666475.887635	end: 1736666476.190597
word: fours	start: 1736666476.190614	end: 1736666476.728793
word: bugle	start: 1736666476.728815	end: 1736666477.266534
word: frith	start: 1736666477.266555	end: 1736666477.803840
word: punks	start: 1736666477.803863	end: 1736666478.350866
word: canna	start: 1736666478.350888	end: 1736666478.522740
word: crept	start: 1736666478.522761	end: 1736666479.057671
word: spore	start: 1736666479.057694	end: 1736666479.591162
word: mauve	start: 1736666479.591184	end: 1736666480.139680
word: hails	start: 1736666480.139705	end: 1736666480.677804
word: unmet	start: 1736666480.677826	end: 1736666481.223848
word: whisk	start: 1736666481.223869	end: 1736666481.764098
word: modus	start: 1736666481.764119	end: 1736666482.297854
word: tacit	start: 1736666482.297876	end: 1736666482.599177
word: froze	start: 1736666482.599199	end: 1736666483.136639
word: goofs	start: 1736666483.136660	end: 1736666483.433732
word: piety	start: 1736666483.433756	end: 1736666483.988221
word: certs	start: 1736666483.988242	end: 1736666484.520213
word: pints	start: 1736666484.520234	end: 1736666485.053209
word: sheik	start: 1736666485.053231	end: 1736666485.595534
word: liege	start: 1736666485.595554	end: 1736666485.894712
word: aptly	start: 1736666485.894734	end: 1736666486.432680
word: flips	start: 1736666486.432701	end: 1736666486.969095
word: mucus	start: 1736666486.969118	end: 1736666487.262984
word: thang	start: 1736666487.263006	end: 1736666487.801622
word: tawny	start: 1736666487.801645	end: 1736666488.356486
word: sects	start: 1736666488.356509	end: 1736666488.654681
word: allis	start: 1736666488.654706	end: 1736666488.944589
word: synch	start: 1736666488.944611	end: 1736666489.487632
word: shunt	start: 1736666489.487653	end: 1736666490.028393
word: webby	start: 1736666490.028418	end: 1736666490.336145
word: lapis	start: 1736666490.336165	end: 1736666490.869259
word: coffs	start: 1736666490.869280	end: 1736666491.167755
word: evade	start: 1736666491.167777	end: 1736666491.455339
word: ayres	start: 1736666491.455395	end: 1736666491.993342
word: nappy	start: 1736666491.993364	end: 1736666492.299788
word: mitts	start: 1736666492.299809	end: 1736666492.596308
word: roost	start: 1736666492.596325	end: 1736666492.888155
word: strep	start: 1736666492.888176	end: 1736666493.427007
word: hippy	start: 1736666493.427023	end: 1736666493.730199
word: gemma	start: 1736666493.730218	end: 1736666494.031548
word: aunts	start: 1736666494.031570	end: 1736666494.564794
word: laces	start: 1736666494.564816	end: 1736666495.108948
word: abram	start: 1736666495.108970	end: 1736666495.394688
word: nosed	start: 1736666495.394709	end: 1736666495.932977
word: payee	start: 1736666495.933007	end: 1736666496.242160
word: cumin	start: 1736666496.242182	end: 1736666496.782004
word: rabid	start: 1736666496.782029	end: 1736666497.322169
word: lotta	start: 1736666497.322185	end: 1736666497.628260
word: buffs	start: 1736666497.628290	end: 1736666497.929565
word: eases	start: 1736666497.929595	end: 1736666498.092082
word: grunt	start: 1736666498.092105	end: 1736666498.628821
word: tilly	start: 1736666498.628850	end: 1736666498.941525
word: aggie	start: 1736666498.941543	end: 1736666499.238053
word: rivet	start: 1736666499.238074	end: 1736666499.778479
word: knack	start: 1736666499.778500	end: 1736666500.065041
word: lowes	start: 1736666500.065063	end: 1736666500.605743
word: shams	start: 1736666500.605767	end: 1736666500.893844
word: obits	start: 1736666500.893867	end: 1736666501.414516
word: moles	start: 1736666501.414537	end: 1736666501.953342
word: pesky	start: 1736666501.953363	end: 1736666502.494245
word: conte	start: 1736666502.494267	end: 1736666503.031003
word: tibia	start: 1736666503.031024	end: 1736666503.337355
word: hinds	start: 1736666503.337377	end: 1736666503.872551
word: whirl	start: 1736666503.872572	end: 1736666504.407269
word: scorn	start: 1736666504.407291	end: 1736666504.940996
word: sages	start: 1736666504.941018	end: 1736666505.235769
word: janes	start: 1736666505.235790	end: 1736666505.775122
word: taker	start: 1736666505.775143	end: 1736666506.327395
word: erick	start: 1736666506.327416	end: 1736666506.863004
word: donny	start: 1736666506.863026	end: 1736666507.168607
word: curie	start: 1736666507.168628	end: 1736666507.708903
word: grout	start: 1736666507.708926	end: 1736666508.243588
word: junta	start: 1736666508.243610	end: 1736666508.780164
word: stent	start: 1736666508.780186	end: 1736666509.074090
word: briar	start: 1736666509.074107	end: 1736666509.378752
word: unify	start: 1736666509.378782	end: 1736666509.920527
word: plumb	start: 1736666509.920550	end: 1736666510.459598
word: glyph	start: 1736666510.459621	end: 1736666511.013135
word: paces	start: 1736666511.013171	end: 1736666511.549994
word: alkyl	start: 1736666511.550018	end: 1736666511.851195
word: dulce	start: 1736666511.851219	end: 1736666512.395832
word: phage	start: 1736666512.395855	end: 1736666512.930919
word: fella	start: 1736666512.930941	end: 1736666513.234053
word: feces	start: 1736666513.234076	end: 1736666513.530427
word: jours	start: 1736666513.530449	end: 1736666514.068143
word: clout	start: 1736666514.068164	end: 1736666514.600330
word: lumps	start: 1736666514.600352	end: 1736666515.133525
word: crimp	start: 1736666515.133549	end: 1736666515.677767
word: delve	start: 1736666515.677789	end: 1736666515.985737
word: aorta	start: 1736666515.985760	end: 1736666516.279366
word: canto	start: 1736666516.279389	end: 1736666516.857541
word: lisle	start: 1736666516.857566	end: 1736666517.149869
word: towed	start: 1736666517.149892	end: 1736666517.699827
word: doped	start: 1736666517.699849	end: 1736666517.995607
word: bribe	start: 1736666517.995628	end: 1736666518.301737
word: henna	start: 1736666518.301755	end: 1736666518.615292
word: axles	start: 1736666518.615318	end: 1736666519.173022
word: hoody	start: 1736666519.173046	end: 1736666519.485266
word: gulch	start: 1736666519.485291	end: 1736666520.057158
word: odour	start: 1736666520.057183	end: 1736666520.350387
word: batik	start: 1736666520.350418	end: 1736666520.917876
word: hyped	start: 1736666520.917897	end: 1736666521.491217
word: earls	start: 1736666521.491239	end: 1736666522.051010
word: mamas	start: 1736666522.051035	end: 1736666522.216065
word: molar	start: 1736666522.216093	end: 1736666522.754624
word: leaky	start: 1736666522.754648	end: 1736666523.299140
word: lobos	start: 1736666523.299163	end: 1736666523.593266
word: corby	start: 1736666523.593287	end: 1736666524.138745
word: cajon	start: 1736666524.138766	end: 1736666524.680674
word: veils	start: 1736666524.680694	end: 1736666525.215753
word: barra	start: 1736666525.215772	end: 1736666525.382501
word: timid	start: 1736666525.382523	end: 1736666525.691384
word: filmy	start: 1736666525.691405	end: 1736666526.234864
word: fishy	start: 1736666526.234888	end: 1736666526.772083
word: wands	start: 1736666526.772105	end: 1736666527.318852
word: legit	start: 1736666527.318876	end: 1736666527.857111
word: cools	start: 1736666527.857131	end: 1736666528.149857
word: wikis	start: 1736666528.149881	end: 1736666528.454927
word: livre	start: 1736666528.454952	end: 1736666528.995268
word: wilco	start: 1736666528.995302	end: 1736666529.534255
word: memes	start: 1736666529.534277	end: 1736666529.694601
word: trier	start: 1736666529.694626	end: 1736666529.996342
word: swore	start: 1736666529.996365	end: 1736666530.523831
word: pique	start: 1736666530.523852	end: 1736666531.064674
word: runes	start: 1736666531.064698	end: 1736666531.604655
word: pyrex	start: 1736666531.604675	end: 1736666532.148269
word: heals	start: 1736666532.148291	end: 1736666532.679872
word: taupe	start: 1736666532.679894	end: 1736666533.224954
word: fleas	start: 1736666533.224978	end: 1736666533.749697
word: wicks	start: 1736666533.749719	end: 1736666534.287306
word: baits	start: 1736666534.287328	end: 1736666534.833148
word: vespa	start: 1736666534.833173	end: 1736666535.371870
word: fiend	start: 1736666535.371891	end: 1736666535.920337
word: grate	start: 1736666535.920362	end: 1736666536.454632
word: yikes	start: 1736666536.454655	end: 1736666537.001984
word: mints	start: 1736666537.002007	end: 1736666537.555622
word: pinky	start: 1736666537.555642	end: 1736666538.103108
word: crumb	start: 1736666538.103133	end: 1736666538.641889
word: coeds	start: 1736666538.641911	end: 1736666539.184428
word: leary	start: 1736666539.184454	end: 1736666539.718935
word: zloty	start: 1736666539.718957	end: 1736666540.257798
word: hiker	start: 1736666540.257819	end: 1736666540.803774
word: execs	start: 1736666540.803792	end: 1736666541.094312
word: domes	start: 1736666541.094330	end: 1736666541.627483
word: dales	start: 1736666541.627504	end: 1736666542.172809
word: auger	start: 1736666542.172830	end: 1736666542.707771
word: drier	start: 1736666542.707792	end: 1736666543.001080
word: lindy	start: 1736666543.001102	end: 1736666543.553403
word: fling	start: 1736666543.553423	end: 1736666544.091914
word: bonne	start: 1736666544.091939	end: 1736666544.391522
word: titre	start: 1736666544.391544	end: 1736666544.689080
word: toric	start: 1736666544.689103	end: 1736666545.220580
word: jello	start: 1736666545.220601	end: 1736666545.519982
word: sever	start: 1736666545.520003	end: 1736666545.819041
word: nutty	start: 1736666545.819062	end: 1736666546.119084
word: kroon	start: 1736666546.119105	end: 1736666546.425741
word: knits	start: 1736666546.425763	end: 1736666546.957643
word: berks	start: 1736666546.957669	end: 1736666547.495720
word: draco	start: 1736666547.495743	end: 1736666548.035446
word: cairn	start: 1736666548.035469	end: 1736666548.592768
word: prune	start: 1736666548.592789	end: 1736666549.148358
word: parka	start: 1736666549.148380	end: 1736666549.469156
word: awoke	start: 1736666549.469182	end: 1736666550.026061
word: spake	start: 1736666550.026084	end: 1736666550.575218
word: amine	start: 1736666550.575240	end: 1736666551.134909
word: aleph	start: 1736666551.134931	end: 1736666551.687766
word: bumpy	start: 1736666551.687787	end: 1736666552.233735
word: feats	start: 1736666552.233757	end: 1736666552.783548
word: muted	start: 1736666552.783572	end: 1736666553.328756
word: madre	start: 1736666553.328794	end: 1736666553.875525
word: churn	start: 1736666553.875586	end: 1736666554.413824
word: swank	start: 1736666554.413846	end: 1736666554.952533
word: tikes	start: 1736666554.952554	end: 1736666555.498817
word: frail	start: 1736666555.498840	end: 1736666556.030612
word: nymph	start: 1736666556.030627	end: 1736666556.586585
word: giver	start: 1736666556.586605	end: 1736666557.154932
word: mylar	start: 1736666557.154958	end: 1736666557.690856
word: leech	start: 1736666557.690874	end: 1736666558.003640
word: preps	start: 1736666558.003661	end: 1736666558.285495
word: chica	start: 1736666558.285516	end: 1736666558.573096
word: clove	start: 1736666558.573117	end: 1736666559.108093
word: munch	start: 1736666559.108115	end: 1736666559.661126
word: hasty	start: 1736666559.661147	end: 1736666560.213287
word: steed	start: 1736666560.213313	end: 1736666560.522347
word: arias	start: 1736666560.522370	end: 1736666560.816307
word: lusty	start: 1736666560.816330	end: 1736666561.366594
word: filer	start: 1736666561.366616	end: 1736666561.920511
word: eased	start: 1736666561.920535	end: 1736666562.228812
word: trove	start: 1736666562.228843	end: 1736666562.785211
word: dolor	start: 1736666562.785234	end: 1736666563.090113
word: leafy	start: 1736666563.090134	end: 1736666563.666918
word: shone	start: 1736666563.666941	end: 1736666564.219012
word: foggy	start: 1736666564.219035	end: 1736666564.535701
word: nance	start: 1736666564.535722	end: 1736666564.842998
word: tarts	start: 1736666564.843020	end: 1736666565.144836
word: tonal	start: 1736666565.144856	end: 1736666565.687343
word: pious	start: 1736666565.687364	end: 1736666566.233404
word: lumen	start: 1736666566.233428	end: 1736666566.798658
word: busts	start: 1736666566.798684	end: 1736666567.104896
word: picky	start: 1736666567.104917	end: 1736666567.662899
word: rapes	start: 1736666567.662921	end: 1736666568.220494
word: bales	start: 1736666568.220517	end: 1736666568.772657
word: bosom	start: 1736666568.772679	end: 1736666569.077958
word: mille	start: 1736666569.077979	end: 1736666569.390402
word: mitre	start: 1736666569.390427	end: 1736666569.951467
word: wasps	start: 1736666569.951489	end: 1736666570.261500
word: melts	start: 1736666570.261522	end: 1736666570.814807
word: wince	start: 1736666570.814830	end: 1736666571.390012
word: curls	start: 1736666571.390034	end: 1736666571.938632
word: ferns	start: 1736666571.938652	end: 1736666572.493256
word: aster	start: 1736666572.493277	end: 1736666573.039246
word: dials	start: 1736666573.039266	end: 1736666573.569180
word: donne	start: 1736666573.569203	end: 1736666573.876089
word: covey	start: 1736666573.876111	end: 1736666574.454862
word: boils	start: 1736666574.454884	end: 1736666575.005602
word: shrug	start: 1736666575.005623	end: 1736666575.540399
word: nicks	start: 1736666575.540421	end: 1736666576.083480
word: stead	start: 1736666576.083503	end: 1736666576.609552
word: spire	start: 1736666576.609572	end: 1736666577.134691
word: godly	start: 1736666577.134713	end: 1736666577.685692
word: drone	start: 1736666577.685715	end: 1736666578.215083
word: whack	start: 1736666578.215105	end: 1736666578.765393
word: howdy	start: 1736666578.765416	end: 1736666579.309539
word: rhone	start: 1736666579.309560	end: 1736666579.835718
word: farce	start: 1736666579.835743	end: 1736666580.372915
word: tunic	start: 1736666580.372937	end: 1736666580.917271
word: stork	start: 1736666580.917302	end: 1736666581.443009
word: brant	start: 1736666581.443031	end: 1736666581.975207
word: jails	start: 1736666581.975230	end: 1736666582.517887
word: polos	start: 1736666582.517914	end: 1736666582.812421
word: goody	start: 1736666582.812464	end: 1736666583.110311
word: phish	start: 1736666583.110332	end: 1736666583.400983
word: diddy	start: 1736666583.401004	end: 1736666583.580210
word: levis	start: 1736666583.580233	end: 1736666584.115386
word: hoyle	start: 1736666584.115408	end: 1736666584.649779
word: surat	start: 1736666584.649801	end: 1736666585.186091
word: forts	start: 1736666585.186112	end: 1736666585.713667
word: wagga	start: 1736666585.713689	end: 1736666585.881476
word: brava	start: 1736666585.881506	end: 1736666586.180850
word: sepia	start: 1736666586.180874	end: 1736666586.720431
word: privy	start: 1736666586.720454	end: 1736666587.260624
word: frown	start: 1736666587.260647	end: 1736666587.803130
word: tombs	start: 1736666587.803154	end: 1736666588.335625
word: aural	start: 1736666588.335647	end: 1736666588.622332
word: massa	start: 1736666588.622353	end: 1736666588.791705
word: reins	start: 1736666588.791726	end: 1736666589.331372
word: teeny	start: 1736666589.331396	end: 1736666589.633975
word: droit	start: 1736666589.633999	end: 1736666590.160198
word: vials	start: 1736666590.160221	end: 1736666590.691407
word: mogul	start: 1736666590.691431	end: 1736666591.237458
word: labia	start: 1736666591.237478	end: 1736666591.535094
word: duets	start: 1736666591.535116	end: 1736666592.067410
word: papal	start: 1736666592.067435	end: 1736666592.227642
word: serra	start: 1736666592.227663	end: 1736666592.536042
word: flexi	start: 1736666592.536066	end: 1736666593.074374
word: speck	start: 1736666593.074395	end: 1736666593.606393
word: clams	start: 1736666593.606415	end: 1736666594.145289
word: morph	start: 1736666594.145321	end: 1736666594.678507
word: argon	start: 1736666594.678531	end: 1736666595.210094
word: gabba	start: 1736666595.210115	end: 1736666595.385070
word: codon	start: 1736666595.385095	end: 1736666595.684359
word: jerky	start: 1736666595.684382	end: 1736666596.227508
word: rerun	start: 1736666596.227529	end: 1736666596.515348
word: nukes	start: 1736666596.515369	end: 1736666597.057887
word: jetty	start: 1736666597.057908	end: 1736666597.362217
word: soles	start: 1736666597.362252	end: 1736666597.650118
word: phony	start: 1736666597.650142	end: 1736666598.201255
word: chews	start: 1736666598.201278	end: 1736666598.738982
word: levee	start: 1736666598.739003	end: 1736666598.917490
