word: wince	start: 1736660332.828661	end: 1736660333.865756
word: fauve	start: 1736660418.042687	end: 1736660419.108572
word: droll	start: 1736660419.108588	end: 1736660419.697511
word: tempt	start: 1736660419.697525	end: 1736660420.281344
word: palsy	start: 1736660420.281359	end: 1736660421.333431
word: mooch	start: 1736660421.333447	end: 1736660421.909581
word: chams	start: 1736660421.909596	end: 1736660422.929995
word: blear	start: 1736660422.930010	end: 1736660423.989330
word: bleat	start: 1736660423.989353	end: 1736660425.050981
word: thill	start: 1736660425.050997	end: 1736660425.659369
word: wingy	start: 1736660425.659385	end: 1736660426.686404
word: fists	start: 1736660426.686419	end: 1736660427.298140
word: prays	start: 1736660427.298153	end: 1736660428.353984
word: annul	start: 1736660428.354017	end: 1736660428.968906
word: sodas	start: 1736660428.968922	end: 1736660429.555237
word: lorry	start: 1736660429.555259	end: 1736660430.127712
word: yukos	start: 1736660430.127727	end: 1736660431.148242
word: leads	start: 1736660431.148259	end: 1736660432.188009
word: aredd	start: 1736660432.188027	end: 1736660432.779889
word: boing	start: 1736660432.779905	end: 1736660433.828789
word: ranga	start: 1736660433.828804	end: 1736660434.427108
word: lownd	start: 1736660434.427125	end: 1736660435.521919
word: byrls	start: 1736660435.521940	end: 1736660436.602692
word: creps	start: 1736660436.602708	end: 1736660437.651892
word: broad	start: 1736660437.651907	end: 1736660438.716040
word: crepy	start: 1736660438.716056	end: 1736660439.796233
word: remet	start: 1736660439.796248	end: 1736660440.403424
word: dupes	start: 1736660440.403440	end: 1736660441.485612
word: cisco	start: 1736660441.485627	end: 1736660442.056576
word: klieg	start: 1736660442.056592	end: 1736660443.127909
word: noted	start: 1736660443.127926	end: 1736660444.213627
word: remex	start: 1736660444.213643	end: 1736660444.822076
word: limns	start: 1736660444.822091	end: 1736660445.897403
word: chang	start: 1736660445.897454	end: 1736660446.997874
word: egret	start: 1736660446.997892	end: 1736660447.593748
word: fleys	start: 1736660447.593763	end: 1736660448.689165
word: signs	start: 1736660448.689181	end: 1736660449.323045
word: noter	start: 1736660449.323060	end: 1736660450.420451
word: yufts	start: 1736660450.420469	end: 1736660451.491541
word: notes	start: 1736660451.491563	end: 1736660452.554266
word: ruddy	start: 1736660452.554283	end: 1736660453.200114
word: waugh	start: 1736660453.200131	end: 1736660454.311388
word: fouds	start: 1736660454.311404	end: 1736660455.412620
word: chant	start: 1736660455.412636	end: 1736660456.522229
word: fiked	start: 1736660456.522252	end: 1736660457.581202
word: raile	start: 1736660457.581216	end: 1736660458.711301
word: terms	start: 1736660458.711316	end: 1736660459.798374
word: moody	start: 1736660459.798391	end: 1736660460.459207
word: fikes	start: 1736660460.459226	end: 1736660461.527679
word: rigid	start: 1736660461.527695	end: 1736660462.133426
word: yacks	start: 1736660462.133443	end: 1736660463.229886
word: sasin	start: 1736660463.229919	end: 1736660463.832472
word: hurds	start: 1736660463.832488	end: 1736660464.899140
word: korma	start: 1736660464.899156	end: 1736660465.964951
word: kabab	start: 1736660465.964966	end: 1736660466.300597
word: imbed	start: 1736660466.300614	end: 1736660467.405776
word: pions	start: 1736660467.405803	end: 1736660468.479527
word: smarm	start: 1736660468.479549	end: 1736660469.145772
word: dzhos	start: 1736660469.145789	end: 1736660470.266311
word: hawks	start: 1736660470.266328	end: 1736660471.348272
word: sairs	start: 1736660471.348288	end: 1736660471.983623
word: gucky	start: 1736660471.983639	end: 1736660473.089705
word: tidal	start: 1736660473.089733	end: 1736660474.181486
word: scowp	start: 1736660474.181502	end: 1736660475.310490
word: saxes	start: 1736660475.310506	end: 1736660475.925159
word: doffs	start: 1736660475.925174	end: 1736660476.526343
word: terne	start: 1736660476.526359	end: 1736660477.125948
word: ethne	start: 1736660477.125965	end: 1736660477.756587
word: chaos	start: 1736660477.756614	end: 1736660478.850659
word: think	start: 1736660478.850676	end: 1736660479.936452
word: terns	start: 1736660479.936468	end: 1736660480.997896
word: weets	start: 1736660480.997916	end: 1736660481.595915
word: skeen	start: 1736660481.595933	end: 1736660482.206107
word: silks	start: 1736660482.206123	end: 1736660482.811510
word: hohed	start: 1736660482.811527	end: 1736660483.396053
word: leafs	start: 1736660483.396069	end: 1736660484.466053
word: matts	start: 1736660484.466068	end: 1736660485.062451
word: nexts	start: 1736660485.062468	end: 1736660486.135936
word: yucas	start: 1736660486.135969	end: 1736660487.197098
word: roved	start: 1736660487.197114	end: 1736660488.278591
word: froze	start: 1736660488.278609	end: 1736660489.371616
word: isles	start: 1736660489.371633	end: 1736660489.985220
word: rover	start: 1736660489.985235	end: 1736660490.572716
word: roves	start: 1736660490.572752	end: 1736660491.639292
word: broch	start: 1736660491.639312	end: 1736660492.733836
word: stain	start: 1736660492.733852	end: 1736660493.841002
word: vodun	start: 1736660493.841023	end: 1736660494.955484
word: drool	start: 1736660494.955506	end: 1736660495.553030
word: brock	start: 1736660495.553046	end: 1736660496.655132
word: cacao	start: 1736660496.655155	end: 1736660496.972662
word: treat	start: 1736660496.972682	end: 1736660497.570396
word: chape	start: 1736660497.570436	end: 1736660498.636068
word: degas	start: 1736660498.636083	end: 1736660499.713668
word: bunts	start: 1736660499.713684	end: 1736660500.810821
word: coxib	start: 1736660500.810836	end: 1736660501.944446
word: binds	start: 1736660501.944463	end: 1736660503.033432
word: daunt	start: 1736660503.033447	end: 1736660504.113783
word: raser	start: 1736660504.113798	end: 1736660504.697847
word: plats	start: 1736660504.697864	end: 1736660505.807980
word: unked	start: 1736660505.807996	end: 1736660506.894008
word: agued	start: 1736660506.894024	end: 1736660508.003236
word: jowed	start: 1736660508.003302	end: 1736660509.077351
word: unket	start: 1736660509.077367	end: 1736660510.153166
word: vines	start: 1736660510.153182	end: 1736660511.206236
word: snabs	start: 1736660511.206254	end: 1736660511.790917
word: houri	start: 1736660511.790933	end: 1736660512.888861
word: bleed	start: 1736660512.888881	end: 1736660513.484758
word: pulli	start: 1736660513.484774	end: 1736660514.088485
word: hylic	start: 1736660514.088508	end: 1736660515.207013
word: xoana	start: 1736660515.207033	end: 1736660515.814520
word: ovoid	start: 1736660515.814535	end: 1736660516.427940
word: irids	start: 1736660516.428001	end: 1736660517.010162
word: visas	start: 1736660517.010176	end: 1736660517.619206
word: biner	start: 1736660517.619222	end: 1736660518.709256
word: yamen	start: 1736660518.709274	end: 1736660519.785137
word: potty	start: 1736660519.785153	end: 1736660520.422107
word: pully	start: 1736660520.422125	end: 1736660521.037178
word: yetts	start: 1736660521.037195	end: 1736660521.642089
word: labis	start: 1736660521.642105	end: 1736660522.717699
word: clock	start: 1736660522.717729	end: 1736660523.329488
word: yarak	start: 1736660523.329504	end: 1736660523.949551
word: overs	start: 1736660523.949566	end: 1736660525.049185
word: flote	start: 1736660525.049201	end: 1736660526.125327
word: emeer	start: 1736660526.125343	end: 1736660526.479658
word: boxed	start: 1736660526.479674	end: 1736660527.561150
word: treck	start: 1736660527.561166	end: 1736660528.660069
word: vetch	start: 1736660528.660085	end: 1736660529.776211
word: taffy	start: 1736660529.776228	end: 1736660530.382775
word: serks	start: 1736660530.382790	end: 1736660530.979048
word: keirs	start: 1736660530.979063	end: 1736660532.032491
word: means	start: 1736660532.032507	end: 1736660533.098709
word: facta	start: 1736660533.098725	end: 1736660533.719624
word: jomos	start: 1736660533.719642	end: 1736660534.353097
word: buffo	start: 1736660534.353112	end: 1736660534.973509
word: ureic	start: 1736660534.973524	end: 1736660536.060235
word: swoon	start: 1736660536.060251	end: 1736660536.682090
word: buffs	start: 1736660536.682105	end: 1736660537.291097
word: poler	start: 1736660537.291113	end: 1736660538.375634
word: tiddy	start: 1736660538.375651	end: 1736660538.998237
word: wonts	start: 1736660538.998253	end: 1736660540.101063
word: swoop	start: 1736660540.101095	end: 1736660540.747103
word: poles	start: 1736660540.747120	end: 1736660541.794364
word: charr	start: 1736660541.794381	end: 1736660542.391781
word: bivvy	start: 1736660542.391801	end: 1736660542.999347
word: beeps	start: 1736660542.999362	end: 1736660543.597002
word: brens	start: 1736660543.597017	end: 1736660544.653608
word: capon	start: 1736660544.653623	end: 1736660545.719685
word: solve	start: 1736660545.719705	end: 1736660546.794141
word: tyres	start: 1736660546.794161	end: 1736660547.862532
word: psalm	start: 1736660547.862547	end: 1736660548.947630
word: detox	start: 1736660548.947645	end: 1736660550.024379
word: pyats	start: 1736660550.024400	end: 1736660551.126655
word: qibla	start: 1736660551.126673	end: 1736660552.204259
word: rewan	start: 1736660552.204278	end: 1736660553.286529
word: lowse	start: 1736660553.286546	end: 1736660554.386943
word: clems	start: 1736660554.386963	end: 1736660555.469770
word: tondo	start: 1736660555.469786	end: 1736660556.109633
word: piezo	start: 1736660556.109649	end: 1736660557.224994
word: flout	start: 1736660557.225014	end: 1736660558.336721
word: snits	start: 1736660558.336741	end: 1736660558.954187
word: naves	start: 1736660558.954204	end: 1736660560.050336
word: binge	start: 1736660560.050353	end: 1736660561.178777
word: houts	start: 1736660561.178794	end: 1736660562.298914
word: tides	start: 1736660562.298931	end: 1736660563.364396
word: chasm	start: 1736660563.364412	end: 1736660564.447616
word: third	start: 1736660564.447631	end: 1736660565.522684
word: krabs	start: 1736660565.522707	end: 1736660566.574071
word: bings	start: 1736660566.574095	end: 1736660567.669530
word: gyoza	start: 1736660567.669565	end: 1736660568.759259
word: offed	start: 1736660568.759276	end: 1736660569.372284
word: thirl	start: 1736660569.372337	end: 1736660570.456763
word: kynde	start: 1736660570.456784	end: 1736660571.541825
word: tushy	start: 1736660571.541842	end: 1736660572.644770
word: crome	start: 1736660572.644786	end: 1736660573.739333
word: axoid	start: 1736660573.739350	end: 1736660574.830286
word: terry	start: 1736660574.830306	end: 1736660575.435786
word: lyses	start: 1736660575.435822	end: 1736660576.043668
word: ataxy	start: 1736660576.043683	end: 1736660576.673186
word: taxol	start: 1736660576.673202	end: 1736660577.785984
word: skein	start: 1736660577.786019	end: 1736660578.903742
word: lirot	start: 1736660578.903761	end: 1736660579.985487
word: auxin	start: 1736660579.985505	end: 1736660581.074691
word: taxon	start: 1736660581.074708	end: 1736660582.155534
word: sweys	start: 1736660582.155553	end: 1736660582.770486
word: poboy	start: 1736660582.770504	end: 1736660583.365157
word: gifts	start: 1736660583.365174	end: 1736660584.458641
word: cauld	start: 1736660584.458656	end: 1736660585.533695
word: whata	start: 1736660585.533711	end: 1736660586.146284
word: bussu	start: 1736660586.146304	end: 1736660586.485533
word: bhang	start: 1736660586.485590	end: 1736660587.564825
word: bazar	start: 1736660587.564840	end: 1736660588.181307
word: caulk	start: 1736660588.181324	end: 1736660589.246868
word: treed	start: 1736660589.246884	end: 1736660589.860048
word: syrah	start: 1736660589.860064	end: 1736660590.956007
word: motet	start: 1736660590.956023	end: 1736660591.535321
word: cauls	start: 1736660591.535349	end: 1736660592.559458
word: buxom	start: 1736660592.559472	end: 1736660593.647049
word: toner	start: 1736660593.647066	end: 1736660594.702911
word: recta	start: 1736660594.702928	end: 1736660595.799655
word: lowts	start: 1736660595.799672	end: 1736660596.868098
word: treen	start: 1736660596.868117	end: 1736660597.468826
word: stamp	start: 1736660597.468865	end: 1736660598.542256
word: mirvs	start: 1736660598.542278	end: 1736660599.651078
word: homed	start: 1736660599.651094	end: 1736660600.712339
word: trees	start: 1736660600.712356	end: 1736660601.292662
word: fella	start: 1736660601.292678	end: 1736660601.891077
word: yfere	start: 1736660601.891096	end: 1736660602.481224
word: zebus	start: 1736660602.481239	end: 1736660603.541365
word: homes	start: 1736660603.541391	end: 1736660604.599939
word: pitot	start: 1736660604.599955	end: 1736660605.208279
word: tasty	start: 1736660605.208302	end: 1736660605.794511
word: beers	start: 1736660605.794526	end: 1736660606.380856
word: tosas	start: 1736660606.380873	end: 1736660606.991515
word: cupel	start: 1736660606.991536	end: 1736660608.057116
word: aroba	start: 1736660608.057136	end: 1736660608.646754
word: cryer	start: 1736660608.646768	end: 1736660609.231798
word: poyse	start: 1736660609.231814	end: 1736660610.279725
word: crone	start: 1736660610.279740	end: 1736660611.336394
word: fucks	start: 1736660611.336413	end: 1736660612.410119
word: delay	start: 1736660612.410134	end: 1736660613.480428
word: illth	start: 1736660613.480448	end: 1736660614.106876
word: crewe	start: 1736660614.106896	end: 1736660614.723935
word: leaks	start: 1736660614.723952	end: 1736660615.780277
word: sibyl	start: 1736660615.780298	end: 1736660616.899437
word: crony	start: 1736660616.899453	end: 1736660617.987081
word: octas	start: 1736660617.987098	end: 1736660619.061236
word: aleck	start: 1736660619.061251	end: 1736660620.157874
word: amman	start: 1736660620.157897	end: 1736660620.505718
word: wazir	start: 1736660620.505732	end: 1736660621.585720
word: duple	start: 1736660621.585754	end: 1736660622.651392
word: caums	start: 1736660622.651407	end: 1736660623.728180
word: alecs	start: 1736660623.728197	end: 1736660624.795058
word: flown	start: 1736660624.795074	end: 1736660625.883506
word: zouks	start: 1736660625.883522	end: 1736660626.949828
word: shins	start: 1736660626.949842	end: 1736660627.532662
word: kirks	start: 1736660627.532679	end: 1736660628.092476
word: snafu	start: 1736660628.092492	end: 1736660629.144517
word: ankhs	start: 1736660629.144533	end: 1736660630.233898
word: sword	start: 1736660630.233950	end: 1736660631.332606
word: unpen	start: 1736660631.332621	end: 1736660631.931778
word: nyssa	start: 1736660631.931811	end: 1736660632.515608
word: vises	start: 1736660632.515624	end: 1736660633.113493
word: wroot	start: 1736660633.113510	end: 1736660633.698974
word: pulps	start: 1736660633.698991	end: 1736660634.289909
word: winos	start: 1736660634.289927	end: 1736660635.343943
word: playa	start: 1736660635.343959	end: 1736660635.953416
word: capri	start: 1736660635.953443	end: 1736660637.018428
word: pulpy	start: 1736660637.018473	end: 1736660637.606314
word: sants	start: 1736660637.606334	end: 1736660638.203196
word: lotas	start: 1736660638.203213	end: 1736660639.255470
word: nyala	start: 1736660639.255485	end: 1736660639.860642
word: crool	start: 1736660639.860658	end: 1736660640.455372
word: sclim	start: 1736660640.455389	end: 1736660641.559407
word: croon	start: 1736660641.559423	end: 1736660642.154306
word: matzo	start: 1736660642.154323	end: 1736660643.240250
word: tapas	start: 1736660643.240266	end: 1736660643.846982
word: sidas	start: 1736660643.847000	end: 1736660644.432712
word: bukes	start: 1736660644.432727	end: 1736660645.488920
word: clepe	start: 1736660645.488940	end: 1736660646.093064
word: kutch	start: 1736660646.093080	end: 1736660647.187712
word: gamut	start: 1736660647.187728	end: 1736660648.271905
word: pance	start: 1736660648.271924	end: 1736660649.341143
word: pious	start: 1736660649.341163	end: 1736660650.403990
word: drouk	start: 1736660650.404007	end: 1736660651.479137
word: tongs	start: 1736660651.479157	end: 1736660652.594915
word: rille	start: 1736660652.594931	end: 1736660653.190493
word: coala	start: 1736660653.190511	end: 1736660653.795146
word: fever	start: 1736660653.795162	end: 1736660654.384668
word: safed	start: 1736660654.384684	end: 1736660655.479282
word: pilar	start: 1736660655.479302	end: 1736660656.554900
word: plaza	start: 1736660656.554926	end: 1736660657.143396
word: dauts	start: 1736660657.143411	end: 1736660658.200520
word: chavs	start: 1736660658.200541	end: 1736660659.261172
word: mooli	start: 1736660659.261188	end: 1736660659.858244
word: pilau	start: 1736660659.858265	end: 1736660660.917830
word: magot	start: 1736660660.917846	end: 1736660661.987241
word: jirga	start: 1736660661.987257	end: 1736660663.021345
word: skelf	start: 1736660663.021363	end: 1736660664.129845
word: coaly	start: 1736660664.129862	end: 1736660665.205345
word: safes	start: 1736660665.205360	end: 1736660665.798346
word: sunis	start: 1736660665.798363	end: 1736660666.402205
word: skell	start: 1736660666.402238	end: 1736660667.018149
word: ducal	start: 1736660667.018164	end: 1736660668.072498
word: yarfa	start: 1736660668.072516	end: 1736660668.679715
word: flype	start: 1736660668.679730	end: 1736660669.752023
word: dikas	start: 1736660669.752038	end: 1736660670.795727
word: crops	start: 1736660670.795743	end: 1736660671.848987
word: amuse	start: 1736660671.849002	end: 1736660672.919480
word: leams	start: 1736660672.919507	end: 1736660673.947209
word: inept	start: 1736660673.947224	end: 1736660675.013837
word: smaze	start: 1736660675.013854	end: 1736660676.129158
word: rewet	start: 1736660676.129174	end: 1736660676.752612
word: suing	start: 1736660676.752628	end: 1736660677.837545
word: staph	start: 1736660677.837564	end: 1736660678.918388
word: coste	start: 1736660678.918404	end: 1736660679.973797
word: azurn	start: 1736660679.973813	end: 1736660681.058903
word: yahoo	start: 1736660681.058919	end: 1736660681.671742
word: huhus	start: 1736660681.671759	end: 1736660681.985181
word: liege	start: 1736660681.985223	end: 1736660682.602472
word: korun	start: 1736660682.602491	end: 1736660683.657588
word: quich	start: 1736660683.657605	end: 1736660684.739217
word: roded	start: 1736660684.739233	end: 1736660685.333165
word: kayle	start: 1736660685.333182	end: 1736660686.417439
word: quick	start: 1736660686.417456	end: 1736660687.490560
word: korus	start: 1736660687.490588	end: 1736660688.543892
word: costs	start: 1736660688.543908	end: 1736660689.151187
word: blobs	start: 1736660689.151235	end: 1736660689.712847
word: rodeo	start: 1736660689.712863	end: 1736660690.324102
word: urena	start: 1736660690.324119	end: 1736660691.379730
word: aback	start: 1736660691.379748	end: 1736660691.984925
word: binks	start: 1736660691.984970	end: 1736660693.055408
word: douar	start: 1736660693.055426	end: 1736660694.096684
word: fumer	start: 1736660694.096700	end: 1736660695.161925
word: knosp	start: 1736660695.161940	end: 1736660696.232279
word: horde	start: 1736660696.232303	end: 1736660697.293329
word: kiwis	start: 1736660697.293346	end: 1736660697.896847
word: skody	start: 1736660697.896863	end: 1736660699.031395
word: labor	start: 1736660699.031410	end: 1736660700.112173
word: motif	start: 1736660700.112188	end: 1736660701.191390
word: noose	start: 1736660701.191405	end: 1736660701.783924
word: cinqs	start: 1736660701.783941	end: 1736660702.862306
word: woker	start: 1736660702.862322	end: 1736660703.920669
word: tonic	start: 1736660703.920684	end: 1736660704.990376
word: kalam	start: 1736660704.990393	end: 1736660705.587381
word: caups	start: 1736660705.587395	end: 1736660706.648901
word: pogos	start: 1736660706.648955	end: 1736660707.253643
word: aleft	start: 1736660707.253659	end: 1736660708.329447
word: syren	start: 1736660708.329465	end: 1736660709.413918
word: coked	start: 1736660709.413935	end: 1736660710.485536
word: hence	start: 1736660710.485574	end: 1736660711.099777
word: gurge	start: 1736660711.099792	end: 1736660711.672190
word: tufas	start: 1736660711.672210	end: 1736660712.705403
word: polka	start: 1736660712.705419	end: 1736660713.783563
word: drows	start: 1736660713.783579	end: 1736660714.852283
word: jenny	start: 1736660714.852302	end: 1736660715.451947
word: quids	start: 1736660715.451962	end: 1736660716.518906
word: tosed	start: 1736660716.518939	end: 1736660717.592593
word: sonce	start: 1736660717.592618	end: 1736660718.675144
word: cupid	start: 1736660718.675160	end: 1736660719.768287
word: kente	start: 1736660719.768331	end: 1736660720.373800
word: fount	start: 1736660720.373829	end: 1736660721.445374
word: apian	start: 1736660721.445390	end: 1736660722.030443
word: lubed	start: 1736660722.030458	end: 1736660723.098715
word: moons	start: 1736660723.098732	end: 1736660723.703887
word: axone	start: 1736660723.703904	end: 1736660724.783886
word: yelks	start: 1736660724.783902	end: 1736660725.866163
word: ainga	start: 1736660725.866180	end: 1736660726.428770
word: skens	start: 1736660726.428784	end: 1736660727.033446
word: serre	start: 1736660727.033461	end: 1736660727.369459
word: boxla	start: 1736660727.369475	end: 1736660728.432400
word: looie	start: 1736660728.432416	end: 1736660729.011620
word: shire	start: 1736660729.011634	end: 1736660730.077923
word: caman	start: 1736660730.077939	end: 1736660730.678831
word: gouty	start: 1736660730.678847	end: 1736660731.786120
word: shirk	start: 1736660731.786136	end: 1736660732.918934
word: ankle	start: 1736660732.918951	end: 1736660734.024893
word: pitta	start: 1736660734.024914	end: 1736660734.643738
word: shirs	start: 1736660734.643758	end: 1736660735.254442
word: teels	start: 1736660735.254458	end: 1736660735.850436
word: chaya	start: 1736660735.850451	end: 1736660736.440594
word: unpin	start: 1736660736.440615	end: 1736660737.035755
word: quiet	start: 1736660737.035771	end: 1736660738.070732
word: skoff	start: 1736660738.070749	end: 1736660738.678241
word: iched	start: 1736660738.678258	end: 1736660739.757256
word: mugga	start: 1736660739.757271	end: 1736660740.365165
word: bonus	start: 1736660740.365181	end: 1736660741.427581
word: rhime	start: 1736660741.427598	end: 1736660742.482961
word: perai	start: 1736660742.482978	end: 1736660743.493655
word: iches	start: 1736660743.493669	end: 1736660744.561130
word: sided	start: 1736660744.561144	end: 1736660745.161592
word: cloke	start: 1736660745.161607	end: 1736660746.242788
word: delfs	start: 1736660746.242811	end: 1736660747.310314
word: tapen	start: 1736660747.310328	end: 1736660748.381319
word: taxus	start: 1736660748.381337	end: 1736660749.443453
word: arepa	start: 1736660749.443504	end: 1736660750.024476
word: gummi	start: 1736660750.024492	end: 1736660750.631951
word: sides	start: 1736660750.631968	end: 1736660751.231112
word: tapet	start: 1736660751.231128	end: 1736660751.802286
word: yucks	start: 1736660751.802331	end: 1736660752.880726
word: mulch	start: 1736660752.880741	end: 1736660753.976108
word: panga	start: 1736660753.976124	end: 1736660754.598985
word: wacky	start: 1736660754.599002	end: 1736660755.683998
word: pruta	start: 1736660755.684017	end: 1736660756.768431
word: wrote	start: 1736660756.768447	end: 1736660757.822112
word: wroth	start: 1736660757.822129	end: 1736660758.908788
word: cacks	start: 1736660758.908810	end: 1736660759.500609
word: blend	start: 1736660759.500626	end: 1736660760.581926
word: baulk	start: 1736660760.581942	end: 1736660761.657194
word: boffo	start: 1736660761.657210	end: 1736660761.989113
word: krais	start: 1736660761.989129	end: 1736660763.023572
word: krait	start: 1736660763.023589	end: 1736660764.104157
word: thaim	start: 1736660764.104172	end: 1736660765.175225
word: ergos	start: 1736660765.175241	end: 1736660766.243440
word: flyte	start: 1736660766.243456	end: 1736660767.301148
word: dikes	start: 1736660767.301163	end: 1736660768.342392
word: faros	start: 1736660768.342409	end: 1736660769.398412
word: stubs	start: 1736660769.398427	end: 1736660770.018459
word: dikey	start: 1736660770.018493	end: 1736660771.104574
word: trock	start: 1736660771.104592	end: 1736660772.185835
word: vlogs	start: 1736660772.185850	end: 1736660773.276641
word: shite	start: 1736660773.276656	end: 1736660774.354630
word: plume	start: 1736660774.354650	end: 1736660775.415583
